transaction_date;month_name;month_id;day_name;day_number;trans_count;products_sold;product_category;product_detail;product_type;store_location;time_bucket;Total_revenue
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Ethiopia Rg;Gourmet brewed coffee;Lower Manhattan;Morning;12
2023/01/01;Jan;2023-Jan;Sun;1;4;4;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea;Lower Manhattan;Morning;18,6
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Drinking Chocolate;Dark chocolate Lg;Hot chocolate;Lower Manhattan;Morning;13,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Our Old Time Diner Blend Sm;Drip coffee;Lower Manhattan;Morning;4
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Bakery;Oatmeal Scone;Scone;Lower Manhattan;Morning;9
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;Lower Manhattan;Morning;4
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Latte Rg;Barista Espresso;Lower Manhattan;Morning;4,25
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Drinking Chocolate;Dark chocolate Rg;Hot chocolate;Lower Manhattan;Morning;14
2023/01/01;Jan;2023-Jan;Sun;1;5;5;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;Lower Manhattan;Morning;20,4
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Ethiopia Lg;Gourmet brewed coffee;Lower Manhattan;Morning;7
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Tea;Earl Grey Lg;Brewed Black tea;Lower Manhattan;Morning;15
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Ouro Brasileiro shot;Barista Espresso;Lower Manhattan;Morning;6
2023/01/01;Jan;2023-Jan;Sun;1;4;4;Tea;Serenity Green Tea Lg;Brewed Green tea;Lower Manhattan;Morning;21
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Bakery;Jumbo Savory Scone;Scone;Lower Manhattan;Morning;7,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Lemon Grass Rg;Brewed herbal tea;Hell's Kitchen;Morning;2,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Drinking Chocolate;Dark chocolate Lg;Hot chocolate;Hell's Kitchen;Morning;13,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;Hell's Kitchen;Morning;4,75
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Ethiopia Lg;Gourmet brewed coffee;Hell's Kitchen;Morning;14
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Bakery;Hazelnut Biscotti;Biscotti;Lower Manhattan;Morning;6,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;Hell's Kitchen;Morning;7,65
2023/01/01;Jan;2023-Jan;Sun;1;5;5;Coffee;Cappuccino;Barista Espresso;Hell's Kitchen;Morning;33,75
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Tea;Lemon Grass Lg;Brewed herbal tea;Lower Manhattan;Morning;15
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Bakery;Chocolate Chip Biscotti;Biscotti;Lower Manhattan;Morning;7
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Tea;Peppermint Lg;Brewed herbal tea;Lower Manhattan;Morning;18
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Bakery;Chocolate Croissant;Pastry;Lower Manhattan;Morning;11,25
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Latte;Barista Espresso;Hell's Kitchen;Morning;3,75
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Coffee;Brazilian Rg;Organic brewed coffee;Lower Manhattan;Morning;9
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Brazilian Lg;Organic brewed coffee;Lower Manhattan;Morning;7
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;Lower Manhattan;Morning;5
2023/01/01;Jan;2023-Jan;Sun;1;5;5;Tea;Morning Sunrise Chai Rg;Brewed Chai tea;Hell's Kitchen;Morning;15
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Morning Sunrise Chai Lg;Brewed Chai tea;Lower Manhattan;Morning;4
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Tea;Peppermint Lg;Brewed herbal tea;Hell's Kitchen;Morning;12
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Our Old Time Diner Blend Lg;Drip coffee;Hell's Kitchen;Morning;6
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;Lower Manhattan;Morning;18,75
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Bakery;Scottish Cream Scone ;Scone;Lower Manhattan;Morning;4,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Peppermint Rg;Brewed herbal tea;Lower Manhattan;Morning;2,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;English Breakfast Rg;Brewed Black tea;Lower Manhattan;Morning;2,5
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Coffee;Our Old Time Diner Blend Rg;Drip coffee;Hell's Kitchen;Morning;10
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Serenity Green Tea Rg;Brewed Green tea;Hell's Kitchen;Morning;2,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Ethiopia Rg;Gourmet brewed coffee;Hell's Kitchen;Morning;9
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Brazilian Sm;Organic brewed coffee;Lower Manhattan;Morning;8,8
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Coffee;Latte;Barista Espresso;Lower Manhattan;Morning;11,25
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;Lower Manhattan;Morning;2,45
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Jamaican Coffee River Lg;Premium brewed coffee;Hell's Kitchen;Morning;15
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Bakery;Ginger Biscotti;Biscotti;Hell's Kitchen;Morning;3,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Traditional Blend Chai Lg;Brewed Chai tea;Hell's Kitchen;Morning;3
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Cappuccino Lg;Barista Espresso;Hell's Kitchen;Morning;17
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Cappuccino Lg;Barista Espresso;Lower Manhattan;Morning;4,25
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Morning Sunrise Chai Rg;Brewed Chai tea;Lower Manhattan;Morning;10
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Our Old Time Diner Blend Lg;Drip coffee;Lower Manhattan;Morning;3
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Espresso shot;Barista Espresso;Lower Manhattan;Morning;12
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Earl Grey Rg;Brewed Black tea;Lower Manhattan;Morning;2,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Serenity Green Tea Lg;Brewed Green tea;Hell's Kitchen;Morning;9
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Bakery;Ginger Scone;Scone;Hell's Kitchen;Morning;6,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;Hell's Kitchen;Morning;9,3
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Our Old Time Diner Blend Rg;Drip coffee;Lower Manhattan;Morning;7,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Our Old Time Diner Blend Sm;Drip coffee;Hell's Kitchen;Morning;2
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Bakery;Ginger Biscotti;Biscotti;Lower Manhattan;Morning;3,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;Lower Manhattan;Morning;3,1
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Bakery;Cranberry Scone;Scone;Lower Manhattan;Morning;3,25
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;Hell's Kitchen;Morning;3,75
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Jamaican Coffee River Lg;Premium brewed coffee;Lower Manhattan;Morning;7,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Earl Grey Lg;Brewed Black tea;Hell's Kitchen;Morning;12
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;Lower Manhattan;Morning;9,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Bakery;Almond Croissant;Pastry;Hell's Kitchen;Morning;3,75
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Our Old Time Diner Blend Sm;Drip coffee;Astoria;Morning;2
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Latte;Barista Espresso;Astoria;Morning;3,75
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Bakery;Croissant;Pastry;Astoria;Morning;3,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Bakery;Croissant;Pastry;Lower Manhattan;Morning;7
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Latte Rg;Barista Espresso;Hell's Kitchen;Morning;8,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Drinking Chocolate;Dark chocolate Lg;Hot chocolate;Astoria;Morning;9
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Serenity Green Tea Lg;Brewed Green tea;Astoria;Morning;3
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Bakery;Jumbo Savory Scone;Scone;Astoria;Morning;7,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Serenity Green Tea Rg;Brewed Green tea;Astoria;Morning;2,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Lemon Grass Lg;Brewed herbal tea;Astoria;Morning;3
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Peppermint Lg;Brewed herbal tea;Astoria;Morning;6
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;Astoria;Morning;11,25
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Ethiopia Sm;Gourmet brewed coffee;Hell's Kitchen;Morning;2,2
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;English Breakfast Lg;Brewed Black tea;Astoria;Morning;6
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Cappuccino;Barista Espresso;Lower Manhattan;Morning;7,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Peppermint Rg;Brewed herbal tea;Hell's Kitchen;Morning;5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Ethiopia Lg;Gourmet brewed coffee;Astoria;Morning;7
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Bakery;Scottish Cream Scone ;Scone;Hell's Kitchen;Morning;4,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Bakery;Ginger Scone;Scone;Lower Manhattan;Morning;3,25
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Traditional Blend Chai Rg;Brewed Chai tea;Astoria;Morning;5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Brazilian Sm;Organic brewed coffee;Astoria;Morning;4,4
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee;Astoria;Morning;3
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Earl Grey Rg;Brewed Black tea;Hell's Kitchen;Morning;5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Brazilian Rg;Organic brewed coffee;Astoria;Morning;6
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Jamaican Coffee River Lg;Premium brewed coffee;Astoria;Morning;7,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Espresso shot;Barista Espresso;Astoria;Morning;6
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Earl Grey Rg;Brewed Black tea;Astoria;Morning;2,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;Lower Manhattan;Afternoon;2,5
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Tea;English Breakfast Lg;Brewed Black tea;Astoria;Afternoon;15
2023/01/01;Jan;2023-Jan;Sun;1;5;5;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;Astoria;Afternoon;24,8
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Bakery;Croissant;Pastry;Astoria;Afternoon;7
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Jamaican Coffee River Lg;Premium brewed coffee;Hell's Kitchen;Afternoon;7,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Serenity Green Tea Lg;Brewed Green tea;Hell's Kitchen;Afternoon;3
2023/01/01;Jan;2023-Jan;Sun;1;4;4;Tea;Peppermint Rg;Brewed herbal tea;Astoria;Afternoon;15
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Brazilian Lg;Organic brewed coffee;Hell's Kitchen;Afternoon;10,5
2023/01/01;Jan;2023-Jan;Sun;1;4;4;Tea;Traditional Blend Chai Rg;Brewed Chai tea;Astoria;Afternoon;15
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Serenity Green Tea Rg;Brewed Green tea;Lower Manhattan;Afternoon;5
2023/01/01;Jan;2023-Jan;Sun;1;4;4;Coffee;Our Old Time Diner Blend Lg;Drip coffee;Hell's Kitchen;Afternoon;12
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Tea;Lemon Grass Lg;Brewed herbal tea;Lower Manhattan;Afternoon;12
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;Hell's Kitchen;Afternoon;15,5
